型號,導程,C,MR_C,MP_C,MY_C,動額定負載,外徑,重複定位精度,安裝方式,馬達瓦數,使用環境,型號類別,導程顯示,T_max安全係數標準,皮帶T_max安全係數標準
GTH12,32,10724.4,405.4,269.6,269.6,4836,16,0.005,水平&橫掛&垂直,400,標準,GTH,L,4,
GTH5S,2,1635.3,23,16.4,16.4,3277,12,0.005,水平&橫掛&垂直,100,標準,GTH,L,4,
GTH8S,5,3610.6,81.2,49,49,13538,16,0.005,水平&橫掛&垂直,200&400,標準,GTH,L,1.3,
GTY4,2,1338.1,15.1,10.2,10.2,2730,10,0.01,水平&橫掛&垂直,50&100,標準,GTY,L,1.3,
GTY4,6,1338.1,15.1,10.2,10.2,2100,10,0.01,水平&橫掛&垂直,50&100,標準,GTY,L,1.3,
GTY4,12,1338.1,15.1,10.2,10.2,1400,10,0.01,水平&橫掛&垂直,50&100,標準,GTY,L,1.3,
GTY5,2,1635.3,23,16.4,16.4,3277,12,0.01,水平&橫掛&垂直,100,標準,GTY,L,4,
GTY5,5,1635.3,23,16.4,16.4,5258,12,0.01,水平&橫掛&垂直,100,標準,GTY,L,4,
GTY5,10,1635.3,23,16.4,16.4,6298,12,0.01,水平&橫掛&垂直,100,標準,GTY,L,4,
GTY5,20,1635.3,23,16.4,16.4,7622,12,0.01,水平&橫掛&垂直,100,標準,GTY,L,4,
GTY8,5,3610.6,81.2,49,49,13538,16,0.01,水平&橫掛&垂直,200&400,標準,GTY,L,1.3,
GTY8,10,3610.6,81.2,49,49,8240,16,0.01,水平&橫掛&垂直,200&400,標準,GTY,L,1.3,
GTY8,20,3610.6,81.2,49,49,4073,16,0.01,水平&橫掛&垂直,200&400,標準,GTY,L,1.3,
GTY12,5,10724.4,405.4,269.6,269.6,15686,16,0.01,水平&橫掛&垂直,400,標準,GTY,L,4,
GTY12,10,10724.4,405.4,269.6,269.6,8240,16,0.01,水平&橫掛&垂直,400,標準,GTY,L,4,
GTY12,20,10724.4,405.4,269.6,269.6,5435,16,0.01,水平&橫掛&垂直,400,標準,GTY,L,4,
GTY12,32,10724.4,405.4,269.6,269.6,4836,16,0.01,水平&橫掛&垂直,400,標準,GTY,L,4,
ETH13,5,5786,230,54.1,54.1,10526,16,0.005,水平&橫掛&垂直,200&400,標準,ETH,L,4,
ETH13,10,5786,230,54.1,54.1,5817,16,0.005,水平&橫掛&垂直,200&400,標準,ETH,L,4,
ETH13,20,5786,230,54.1,54.1,5435,16,0.005,水平&橫掛&垂直,200&400,標準,ETH,L,4,
ETH13,32,5786,230,54.1,54.1,4836,16,0.005,水平&橫掛,200&400,標準,ETH,L,4,
ETH14,5,7880.3,313.2,315.2,315.2,10526,16,0.005,水平&橫掛&垂直,200&400,標準,ETH,L,4,
ETH14,10,7880.3,313.2,315.2,315.2,5817,16,0.005,水平&橫掛&垂直,200&400,標準,ETH,L,4,
ETH14,20,7880.3,313.2,315.2,315.2,5435,16,0.005,水平&橫掛&垂直,200&400,標準,ETH,L,4,
ETH14,32,7880.3,313.2,315.2,315.2,4836,16,0.005,水平&橫掛&垂直,200&400,標準,ETH,L,4,
ETH17,5,12122.5,624.3,509.1,509.1,17795,20,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH17,10,12122.5,624.3,509.1,509.1,1025,20,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH17,20,12122.5,624.3,509.1,509.1,5414,20,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH17,40,12122.5,624.3,509.1,509.1,6406,20,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH22,5,17009,1199.1,1318.2,1318.2,11116,25,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETH22,10,17009,1199.1,1318.2,1318.2,16069,25,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETH22,25,17009,1199.1,1318.2,1318.2,5948,25,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETH22,40,17009,1199.1,1318.2,1318.2,6406,20,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETH17M,5,6566.9,354.6,262.7,262.7,10526,16,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH17M,10,6566.9,354.6,262.7,262.7,5817,16,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH17M,20,6566.9,354.6,262.7,262.7,5435,16,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH17M,32,6566.9,354.6,262.7,262.7,4836,16,0.005,水平&橫掛&垂直,400&750,標準,ETH,L,4,
ETH22M,5,10102,727.3,727.3,727.3,11116,20,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETH22M,10,10102,727.3,727.3,727.3,16069,20,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETH22M,20,10102,727.3,727.3,727.3,5948,20,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETH22M,40,10102,727.3,727.3,727.3,6406,20,0.005,水平&橫掛&垂直,750,標準,ETH,L,4,
ETB5,32,661,8.1,3.3,3.3,3065,9,0.04,水平&橫掛,50&100,標準,ETB,X,4,
ETB5,40,661,8.1,3.3,3.3,3065,9,0.04,水平&橫掛,50&100,標準,ETB,X,4,
ETB6,40,1451,29.7,10.7,10.7,5065,12,0.04,水平&橫掛,50&100,標準,ETB,X,4,
ETB10,32,3181,29.8,28.9,28.9,2125,15,0.04,水平&橫掛,100&200,標準,ETB,X,2.1,1.1
ETB14M,40,7880,313.2,315.2,315.2,4824,22,0.04,水平&橫掛,200&400,標準,ETB,L,2.1,1.1
ETB17M,40,12122,624.3,509.1,509.1,7584,30,0.04,水平&橫掛,400&750,標準,ETB,L,2.1,1.1
ETB22M,40,17009,1199.1,1318.2,1318.2,10324,50,0.04,水平&橫掛,750,標準,ETB,L,1.85,1.1
MK65-03,36.67,2784,119.154,972.689,972.689,2412,32,0.1,水平&橫掛&垂直,400,標準,M,,2.1,1.1
MK65-05,22,2784,119.154,972.689,972.689,2412,32,0.1,水平&橫掛&垂直,400,標準,M,,2.1,1.1
MK65-07,15.71,2784,119.154,972.689,972.689,2412,32,0.1,水平&橫掛&垂直,400,標準,M,,2.1,1.1
MK65-10,11,2784,119.154,972.689,972.689,2412,32,0.1,水平&橫掛&垂直,400,標準,M,,2.1,1.1
MK85-05,40,4354,266.77,2379.3,2379.302,3792,46,0.1,水平&橫掛&垂直,750,標準,M,,2.1,1.1
MK85-07,28.57,4354,266.77,2379.3,2379.302,3792,46,0.1,水平&橫掛&垂直,750,標準,M,,2.1,1.1
MK85-10,20,4354,266.77,2379.3,2379.302,3792,46,0.1,水平&橫掛&垂直,750,標準,M,,2.1,1.1
MK110-10,25,6007,417.09,417.823,4170.823,5162,50,0.1,水平&橫掛&垂直,750,標準,M,,2.1,1.1
MK110-15,16.67,6007,417.09,417.823,4170.823,5162,50,0.1,水平&橫掛&垂直,750,標準,M,,2.1,1.1
MK110-20,12.5,6007,417.09,417.823,4170.823,5162,50,0.1,水平&橫掛&垂直,750,標準,M,,2.1,1.1
GCH4,2,1338.1,15.1,10.2,10.2,2730,10,0.005,水平&橫掛&垂直,50&100,無塵,GCH,L,1.3,
GCH4,6,1338.1,15.1,10.2,10.2,2100,10,0.005,水平&橫掛&垂直,50&100,無塵,GCH,L,1.3,
GCH4,12,1338.1,15.1,10.2,10.2,1400,10,0.005,水平&橫掛&垂直,50&100,無塵,GCH,L,1.3,
GCH5,2,1635.3,23,16.4,16.4,3277,12,0.005,水平&橫掛&垂直,100,無塵,GCH,L,4,
GCH5,5,1635.3,23,16.4,16.4,5258,12,0.005,水平&橫掛&垂直,100,無塵,GCH,L,4,
GCH5,10,1635.3,23,16.4,16.4,6298,12,0.005,水平&橫掛&垂直,100,無塵,GCH,L,4,
GCH5,20,1635.3,23,16.4,16.4,7622,12,0.005,水平&橫掛&垂直,100,無塵,GCH,L,4,
GCH8,5,3610.6,81.2,49,49,13538,16,0.005,水平&橫掛&垂直,200&400,無塵,GCH,L,1.3,
GCH8,10,3610.6,81.2,49,49,8240,16,0.005,水平&橫掛&垂直,200&400,無塵,GCH,L,1.3,
GCH8,20,3610.6,81.2,49,49,4073,16,0.005,水平&橫掛&垂直,200&400,無塵,GCH,L,1.3,
GCH12,5,10724.4,405.4,269.6,269.6,15686,16,0.005,水平&橫掛&垂直,400,無塵,GCH,L,4,
GCH12,10,10724.4,405.4,269.6,269.6,8240,16,0.005,水平&橫掛&垂直,400,無塵,GCH,L,4,
GCH12,20,10724.4,405.4,269.6,269.6,5435,16,0.005,水平&橫掛&垂直,400,無塵,GCH,L,4,
GCH12,32,10724.4,405.4,269.6,269.6,4836,16,0.005,水平&橫掛&垂直,400,無塵,GCH,L,4,
ECH14,5,7880.3,313.2,315.2,315.2,10526,16,0.005,水平&橫掛&垂直,200&400,無塵,ECH,L,4,
ECH14,10,7880.3,313.2,315.2,315.2,5817,16,0.005,水平&橫掛&垂直,200&400,無塵,ECH,L,4,
ECH14,20,7880.3,313.2,315.2,315.2,5435,16,0.005,水平&橫掛&垂直,200&400,無塵,ECH,L,4,
ECH14,32,7880.3,313.2,315.2,315.2,4836,16,0.005,水平&橫掛&垂直,200&400,無塵,ECH,L,4,
ECH17,5,12122.5,624.3,509.1,509.1,17795,20,0.005,水平&橫掛&垂直,400&750,無塵,ECH,L,4,
ECH17,10,12122.5,624.3,509.1,509.1,1025,20,0.005,水平&橫掛&垂直,400&750,無塵,ECH,L,4,
ECH17,20,12122.5,624.3,509.1,509.1,5414,20,0.005,水平&橫掛&垂直,400&750,無塵,ECH,L,4,
ECH17,40,12122.5,624.3,509.1,509.1,6406,20,0.005,水平&橫掛&垂直,400&750,無塵,ECH,L,4,
ECH22,5,17009,1199.1,1318.2,1318.2,11116,25,0.005,水平&橫掛&垂直,750,無塵,ECH,L,4,
ECH22,10,17009,1199.1,1318.2,1318.2,16069,25,0.005,水平&橫掛&垂直,750,無塵,ECH,L,4,
ECH22,25,17009,1199.1,1318.2,1318.2,5948,25,0.005,水平&橫掛&垂直,750,無塵,ECH,L,4,
ECH22,40,17009,1199.1,1318.2,1318.2,6406,20,0.005,水平&橫掛&垂直,750,無塵,ECH,L,4,
ECB5,32,661,8.1,3.3,3.3,3065,9,0.04,水平&橫掛,50&100,無塵,ECB,X,4,
ECB5,40,661,8.1,3.3,3.3,3065,9,0.04,水平&橫掛,50&100,無塵,ECB,X,4,
ECB6,40,1451,29.7,10.7,10.7,5065,12,0.04,水平&橫掛,50&100,無塵,ECB,X,4,
ECB10,32,3181,29.8,28.9,28.9,2125,15,0.04,水平&橫掛,100&200,無塵,ECB,L,2.1,1.1
ECB14,40,7880,313.2,315.2,315.2,4824,22,0.04,水平&橫掛,200&400,無塵,ECB,L,2.1,1.1
ECB17,40,12122,624.3,509.1,509.1,7584,30,0.04,水平&橫掛,400&750,無塵,ECB,L,2.1,1.1
ECB22,40,17009,1199.1,1318.2,1318.2,10324,50,0.04,水平&橫掛,750,無塵,ECB,L,1.85,1.1
Y50,5,817.7,11.5,8.2,8.2,5258,12,0.01,水平&橫掛&垂直,100,標準,Y,L,4,
Y50,10,817.7,11.5,8.2,8.2,6298,12,0.01,水平&橫掛&垂直,100,標準,Y,L,4,
Y50D,5,817.7,11.5,8.2,8.2,5258,12,0.01,水平&橫掛&垂直,100,標準,YD,L,4,
Y50D,10,817.7,11.5,8.2,8.2,6298,12,0.01,水平&橫掛&垂直,100,標準,YD,L,4,
Y50L,5,817.7,11.5,8.2,8.2,5258,12,0.01,水平&橫掛&垂直,100,標準,YL,L,4,
Y50L,10,817.7,11.5,8.2,8.2,6298,12,0.01,水平&橫掛&垂直,100,標準,YL,L,4,
Y65,5,1805.3,40.6,24.5,24.5,10526,16,0.01,水平&橫掛&垂直,400,標準,Y,L,4,
Y65,10,1805.3,40.6,24.5,24.5,5817,16,0.01,水平&橫掛&垂直,400,標準,Y,L,4,
Y65,16,1805.3,40.6,24.5,24.5,5610,16,0.01,水平&橫掛&垂直,400,標準,Y,L,4,
Y65,20,1805.3,40.6,24.5,24.5,5435,16,0.01,水平&橫掛&垂直,400,標準,Y,L,4,
Y65D,5,1805.3,40.6,24.5,24.5,10526,16,0.01,水平&橫掛&垂直,400,標準,YD,L,4,
Y65D,10,1805.3,40.6,24.5,24.5,5817,16,0.01,水平&橫掛&垂直,400,標準,YD,L,4,
Y65D,16,1805.3,40.6,24.5,24.5,5610,16,0.01,水平&橫掛&垂直,400,標準,YD,L,4,
Y65D,20,1805.3,40.6,24.5,24.5,5435,16,0.01,水平&橫掛&垂直,400,標準,YD,L,4,
Y65L,5,1805.3,40.6,24.5,24.5,10526,16,0.01,水平&橫掛&垂直,400,標準,YL,L,4,
Y65L,10,1805.3,40.6,24.5,24.5,5817,16,0.01,水平&橫掛&垂直,400,標準,YL,L,4,
Y65L,16,1805.3,40.6,24.5,24.5,5610,16,0.01,水平&橫掛&垂直,400,標準,YL,L,4,
Y65L,20,1805.3,40.6,24.5,24.5,5435,16,0.01,水平&橫掛&垂直,400,標準,YL,L,4,
MH65,78,917,33.4,409.3,409.3,728,20,0.1,水平&橫掛,400,標準,M,X,2.1,1.1
MH80,102,1536,62.7,244.6,244.6,1219,30,0.1,水平&橫掛,750,標準,M,X,2.1,1.1
MG65-00,90,2794.5,599.374,540.784,540.784,2013,20,0.06,水平&橫掛&垂直,400,標準,MG,,2.1,1.1
MG65-02,45,2794.5,599.374,540.784,540.784,2013,20,0.04,水平&橫掛&垂直,400,標準,MG,,2.1,1.1
MG65-03,30,2794.5,599.374,540.784,540.784,2013,20,0.04,水平&橫掛&垂直,400,標準,MG ,,2.1,1.1
